exp_id,fold,rmse,mae,r2
model=ridge|params=alpha=0.1|impute=median|outlier=quantile_1_99|sampling=undersample_major_bins|scale=True,0,1.2457144406237997,1.0551952972707173,-3.403689765429111
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=False,1,0.9422886972560105,0.7676893486294624,0.423905080823727
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=False,2,0.9461588469396361,0.7685067808390609,0.419430259755604
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=False,3,0.9464801551683345,0.7745290252093155,0.4166471287764958
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=False,4,0.9505936197815853,0.7745605294868835,0.4139864673624434
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=False,5,0.9333553939139895,0.7577899531999178,0.4356227126670391
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=False,0,1.3074717222214525,1.0890437647953832,-3.851145801798821
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=True,1,0.9422241788931799,0.7676970800324674,0.42398396838474905
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=True,2,0.9461197706455332,0.7684833064750314,0.4194782137445451
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=True,3,0.9464774598742682,0.7745207619482268,0.4166504512028245
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=True,4,0.9505734673585351,0.7745493031431979,0.4140113138735002
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=True,5,0.9333541372863412,0.7577840050518371,0.43562423237031733
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=none|scale=True,0,1.307487704223423,1.089078282745857,-3.8512643993857507
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=False,1,0.9423011929406347,0.768231973374204,0.42388980154005185
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=False,2,0.9460020947657467,0.7691064136231753,0.41962261229900155
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=False,3,0.9466133054946104,0.775203911165465,0.41648298568642583
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=False,4,0.9506537570025446,0.7751302276071574,0.4139123192947658
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=False,5,0.9335306140455325,0.7585068442255724,0.4354107900798321
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=False,0,1.3057102865126862,1.0883174777897302,-3.8380836064686275
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=True,1,0.9422426974949794,0.7682429524372509,0.42396132596782965
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=True,2,0.9459650182892158,0.7690833315226303,0.4196681046441686
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=True,3,0.9466112720103653,0.7751952665736266,0.4164854926686835
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=True,4,0.9506332172995557,0.7751189831171444,0.4139376448914974
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=True,5,0.933527063451482,0.758500930859839,0.435415084793358
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=target_bin_weighted|scale=True,0,1.305726555648735,1.0883524361527948,-3.838204172158572
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=False,1,0.9422886972560105,0.7676893486294624,0.423905080823727
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=False,2,0.9461588469396361,0.7685067808390609,0.419430259755604
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=False,3,0.9464801551683345,0.7745290252093155,0.4166471287764958
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=False,4,0.9505936197815853,0.7745605294868835,0.4139864673624434
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=False,5,0.9333553939139895,0.7577899531999178,0.4356227126670391
model=ridge|params=alpha=0.1|impute=knn|outlier=none|sampling=undersample_major_bins|scale=False,0,1.3074717222214525,1.0890437647953832,-3.851145801798821
